'ARE': (0.9999930268702637, -0.24693729492208155), 
'ARG': (0.9296327686354471, 0.21484110862896894), 
'BGD': (0.9992937412365362, 0.7272823423316882), 
'BIH': (0.9999999999767779, -0.10803628399807626), 
'BRA': (0.9551276902989971, 0.17022133056917996), 
'BWA': (0.9543303806151625, 0.18037245880188732), 
'CHN': (0.9173892761367031, 0.2913948803540787), 
'CIV': (0.9999860714143178, 0.5474122500224339), 
'COL': (0.9194822539430143, 0.32769753106267807), 
'CZE': (0.9456316329405403, 0.45392665873836086), 
'EGY': (0.9999983149342657, -0.46824856789395275), 
'EST': (0.9224711781961752, 0.27356851876028443), 
'GHA': (0.9851322315473602, -0.1227602134987853), 
'HRV': (0.9992520826716125, 0.12776267004039404), 
'HUN': (0.9999962827531695, -0.2429831437802331), 
'IDN': (0.9999958711896044, 0.30883133880275315), 
'IND': (0.9999934775226348, -0.17269559827740652), 
'JAM': (0.9989096540369259, 0.3566179392831762), 
'JOR': (0.9999951986533602, 0.10279330536322573), 
'KAZ': (0.8673458980402033, 0.1111031182990469), 
'KEN': (0.9322725163156934, -0.1914516279133123), 
'LKA': (0.9478422015452488, -0.25063496193688134), 
'MAR': (0.998466127524361, -0.20922354330870846), 
'MEX': (0.8962946580329861, -0.1812447415244392), 
'NGA': (0.9974085170059337, -0.41113649958373544), 
'PAK': (0.9227864666316163, 0.40479957482195145), 
'PER': (0.9999950776548648, 0.4350020060791106), 
'PHL': (0.9251121646884605, 0.3564810591928407), 
'SEN': (0.9999747535351164, 0.26498321984556744), 
'SRB': (0.9999901451379444, 0.17654415095766762), 
'SVN': (0.999995385130583, 0.3967807713466386), 
'THA': (0.9999893212950061, 0.26907799682878125), 
'TTO': (0.9572309866271282, -0.7279860758347876), 
'TUN': (0.995712884086241, 0.27795729247495954), 
'UKR': (0.9999997592346307, 0.5284668218842563), 
'VNM': (0.9986017795684821, -0.4826788707344886), 
'ZAF': (0.8905284054287042, -0.4208842536829758), 
'ZWE': (0.9997365271063816, -0.47760678485138286)
